SampleID	Barcode	Read1Accepted	Read1Filtered	Read1PassedFrac	Read2Accepted	Read2Filtered	Read2PassedFrac
SMPL0		23909	258494	0.0847	20937	0	1
SMPL1		30347	97395	0.238	24941	0	1
SMPL10		34237	46250	0.425	28881	0	1
SMPL100		1118	50028	0.0219	450	0	1
SMPL101		183847	224816	0.45	117010	0	1
SMPL102		159583	179260	0.471	94953	0	1
SMPL103		50495	111821	0.311	0	0	NA
SMPL104		11655	22622	0.34	2179	0	1
SMPL105		6847	28866	0.192	0	0	NA
SMPL106		37326	61789	0.377	23951	0	1
SMPL107		564	1480	0.276	0	0	NA
SMPL108		3429	17954	0.16	0	0	NA
SMPL109		2592	8147	0.241	0	0	NA
SMPL11		63636	37950	0.626	49103	0	1
SMPL110		617	21829	0.0275	151	0	1
SMPL111		3019	7318	0.292	0	0	NA
SMPL112		4992	15167	0.248	0	0	NA
SMPL113		19	52	0.268	12	0	1
SMPL114		2325	5285	0.306	0	0	NA
SMPL115		76323	117381	0.394	8617	0	1
SMPL116		3345	12473	0.211	0	0	NA
SMPL117		56554	87954	0.391	27870	0	1
SMPL118		1112	3522	0.24	0	0	NA
SMPL119		18	355	0.0483	0	0	NA
SMPL12		35446	364974	0.0885	29486	0	1
SMPL120		4848	22549	0.177	0	0	NA
SMPL121		113134	254160	0.308	0	0	NA
SMPL122		979	51244	0.0187	287	0	1
SMPL123		2073	11140	0.157	0	0	NA
SMPL124		62068	189357	0.247	0	0	NA
SMPL125		102878	155705	0.398	58650	0	1
SMPL126		847	4310	0.164	0	0	NA
SMPL127		23323	30029	0.437	4768	0	1
SMPL128		52695	76927	0.407	30905	0	1
SMPL129		5936	19407	0.234	0	0	NA
SMPL13		42271	11450	0.787	34776	0	1
SMPL130		57784	90359	0.39	7929	0	1
SMPL131		8113	24062	0.252	0	0	NA
SMPL132		91720	122705	0.428	53176	0	1
SMPL133		36	1776	0.0199	0	0	NA
SMPL134		8784	778992	0.0112	0	0	NA
SMPL135		22	1134	0.019	0	0	NA
SMPL136		40794	55727	0.423	10090	0	1
SMPL137		8924	30043	0.229	0	0	NA
SMPL138		1389	20746	0.0628	0	0	NA
SMPL139		3303	12384	0.211	0	0	NA
SMPL14		56467	22795	0.712	44745	0	1
SMPL140		2758	6563	0.296	0	0	NA
SMPL141		25	1919	0.0129	0	0	NA
SMPL142		20953	62380	0.251	0	0	NA
SMPL143		8003	778843	0.0102	0	0	NA
SMPL144		593	2771	0.176	0	0	NA
SMPL145		5767	17142	0.252	0	0	NA
SMPL146		747	5669	0.116	0	0	NA
SMPL147		7	1254	0.00555	0	0	NA
SMPL148		125	14648	0.00846	0	0	NA
SMPL149		9726	980333	0.00982	0	0	NA
SMPL15		146828	190188	0.436	79006	0	1
SMPL150		14	2624	0.00531	0	0	NA
SMPL151		110	2027	0.0515	0	0	NA
SMPL152		54	3606	0.0148	0	0	NA
SMPL153		13612	59564	0.186	10986	0	1
SMPL154		4145	5998	0.409	2101	0	1
SMPL155		49766	59163	0.457	29719	0	1
SMPL156		3068	40960	0.0697	934	0	1
SMPL157		80640	102100	0.441	51236	0	1
SMPL158		75851	104969	0.419	41316	0	1
SMPL159		38242	94110	0.289	10058	0	1
SMPL16		83419	108789	0.434	37879	0	1
SMPL160		81503	112015	0.421	43020	0	1
SMPL161		42164	52581	0.445	6428	0	1
SMPL162		32377	57390	0.361	18745	0	1
SMPL163		44225	61618	0.418	7183	0	1
SMPL164		59717	86297	0.409	32863	0	1
SMPL165		44073	52370	0.457	9304	0	1
SMPL166		12	17	0.414	7	0	1
SMPL167		51071	66753	0.433	32788	0	1
SMPL168		236399	307662	0.435	123720	0	1
SMPL169		83067	128129	0.393	10974	0	1
