sdm 2.06 beta
Input File:  several
Output File: Res1/tmpFiles//demulti.1.fna

Reads processed: 65,503,292; 65,503,292 (pair 1;pair 2)
Rejected: 45,771,042; 55,506,162
Accepted (High qual): 19,732,231; 9,996,834 (10,858,358; 24,680,738 end-trimmed)
Accepted (Mid qual): 19;296
Singletons among these: 0; 0
Bad Reads recovered with dereplication: 3,539,086
Min/Avg/Max stats Pair 1
     - sequence Length : 200/200/200
     - Quality :   27/33.8/38
     - Median sequence Length : 0, Quality : 0
     - Accum. Error 0.152
Trimmed due to:
  > 25 avg qual_ in 20 bp windows :         0; 0
  > (0.95) acc. errors, trimmed seqs :     0; 0
Rejected due to:
  < min Sequence length (200)  :                42,439,355; 55,496,364
       -after Quality trimming :           16,389,813; 27,292,405
  < avg Quality (27)  :                    0; 0
  < window (50 nt) avg. Quality (25)  :    735; 297
  > max Sequence length (1000)  :               0; 0
  > (8) homo-nt run  :                     18,685; 2,565
  > (0) amb. Bases  :                      193,621; 7,233
  > (2.7) binomial est. errors :           3,119,381; 0
Specific sequence searches:
  -With fwd Primer remaining (<= 0 mismatches) :           0; 0
  -Barcode unidentified (max 0 errors) :                   0

SampleID	Barcode	Instances
SMPL0		23,909
SMPL1		30,347
SMPL10		34,237
SMPL100		1,118
SMPL101		183,847
SMPL102		159,583
SMPL103		50,495
SMPL104		11,655
SMPL105		6,847
SMPL106		37,326
SMPL107		564
SMPL108		3,429
SMPL109		2,592
SMPL11		63,636
SMPL110		617
SMPL111		3,019
SMPL112		4,992
SMPL113		19
SMPL114		2,325
SMPL115		76,323
SMPL116		3,345
SMPL117		56,554
SMPL118		1,112
SMPL119		18
SMPL12		35,446
SMPL120		4,848
SMPL121		113,134
SMPL122		979
SMPL123		2,073
SMPL124		62,068
SMPL125		102,878
SMPL126		847
SMPL127		23,323
SMPL128		52,695
SMPL129		5,936
SMPL13		42,271
SMPL130		57,784
SMPL131		8,113
SMPL132		91,720
SMPL133		36
SMPL134		8,784
SMPL135		22
SMPL136		40,794
SMPL137		8,924
SMPL138		1,389
SMPL139		3,303
SMPL14		56,467
SMPL140		2,758
SMPL141		25
SMPL142		20,953
SMPL143		8,003
SMPL144		593
SMPL145		5,767
SMPL146		747
SMPL147		7
SMPL148		125
SMPL149		9,726
SMPL15		146,828
SMPL150		14
SMPL151		110
SMPL152		54
SMPL153		13,612
SMPL154		4,145
SMPL155		49,766
SMPL156		3,068
SMPL157		80,640
SMPL158		75,851
SMPL159		38,242
SMPL16		83,419
SMPL160		81,503
SMPL161		42,164
SMPL162		32,377
SMPL163		44,225
SMPL164		59,717
SMPL165		44,073
SMPL166		12
SMPL167		51,071
SMPL168		236,399
SMPL169		83,067
SMPL17		6,078
SMPL170		89,513
SMPL171		426
SMPL172		29,179
SMPL173		44,087
SMPL174		5,246
SMPL175		40,456
SMPL176		21
SMPL177		70,754
SMPL178		422
SMPL179		63
SMPL18		3
SMPL180		87,763
SMPL181		103,003
SMPL182		159,938
SMPL183		52,674
SMPL184		51,397
SMPL185		45,030
SMPL186		39,329
SMPL187		116,463
SMPL188		31,201
SMPL189		75,954
SMPL19		57,230
SMPL190		47,534
SMPL191		74,673
SMPL192		125,327
SMPL193		168,452
SMPL194		88,158
SMPL195		60,078
SMPL196		68,770
SMPL197		59,341
SMPL198		93,796
SMPL199		32,749
SMPL2		15,029
SMPL20		17,869
SMPL200		12,486
SMPL201		46,650
SMPL202		27,824
SMPL203		50,844
SMPL204		305,502
SMPL205		96,141
SMPL206		252,647
SMPL207		131,237
SMPL208		218,101
SMPL209		127,504
SMPL21		40,423
SMPL210		184,589
SMPL211		14,501
SMPL212		129,149
SMPL213		95,598
SMPL214		39,945
SMPL215		13,828
SMPL216		85
SMPL217		3,979
SMPL218		3,177
SMPL219		17,207
SMPL22		33,514
SMPL220		64,579
SMPL221		52,237
SMPL222		43,940
SMPL223		2,597
SMPL224		184,098
SMPL225		39
SMPL226		22,781
SMPL227		561
SMPL228		66,632
SMPL229		13,499
SMPL23		9
SMPL230		318,133
SMPL231		192,376
SMPL232		204
SMPL233		39,070
SMPL234		103,073
SMPL235		159
SMPL236		555
SMPL237		217,796
