#Length	FilteredP1	FilteredP2	AddFilterP1	AddFilterP2	RawReadsP1	RawReadsP2
35	0	0	0	0	24974106	24472034
36	0	0	0	0	92063	87799
37	0	0	0	0	70826	69973
38	0	0	0	0	26338	25594
39	0	0	0	0	23125	23118
40	0	0	0	0	27303	27166
41	0	0	0	0	46458	46575
42	0	0	0	0	28335	27825
43	0	0	0	0	124011	124088
44	0	0	0	0	170415	170826
45	0	0	0	0	37178	36716
46	0	0	0	0	67682	68194
47	0	0	0	0	8588	8304
48	0	0	0	0	5165	5084
49	0	0	0	0	3943	3799
50	0	0	0	0	3036	2933
51	0	0	0	0	3587	3437
52	0	0	0	0	2134	2100
53	0	0	0	0	4259	4068
54	0	0	0	0	2899	2794
55	0	0	0	0	2005	1940
56	0	0	0	0	4264	4161
57	0	0	0	0	4320	4202
58	0	0	0	0	1854	1830
59	0	0	0	0	3741	3704
60	0	0	0	0	2030	1989
61	0	0	0	0	1716	1701
62	0	0	0	0	2710	2665
63	0	0	0	0	1819	1681
64	0	0	0	0	1675	1635
65	0	0	0	0	2233	1840
66	0	0	0	0	2956	2615
67	0	0	0	0	4569	1523
68	0	0	0	0	2757	2656
69	0	0	0	0	1474	1526
70	0	0	0	0	1149	1153
71	0	0	0	0	3270	3152
72	0	0	0	0	929	962
73	0	0	0	0	1678	1693
74	0	0	0	0	1548	1570
75	0	0	0	0	2080	2030
76	0	0	0	0	3882	2694
77	0	0	0	0	23170	2924
78	0	0	0	0	1731	1248
79	0	0	0	0	2248	2166
80	0	0	0	0	3770	1973
81	0	0	0	0	1687	1683
82	0	0	0	0	4210	5719
83	0	0	0	0	4270	3846
84	0	0	0	0	1280	4064
85	0	0	0	0	1131	10588
86	0	0	0	0	4315	6026
87	0	0	0	0	2544	12529
88	0	0	0	0	1731	28492
89	0	0	0	0	2726	72966
90	0	0	0	0	1323	47258
91	0	0	0	0	1517	73246
92	0	0	0	0	1712	200814
93	0	0	0	0	1296	43979
94	0	0	0	0	2173	228282
95	0	0	0	0	2056	98457
96	0	0	0	0	1707	223477
97	0	0	0	0	5503	38043
98	0	0	0	0	3058	42817
99	0	0	0	0	1680	157446
100	0	0	0	0	1593	114441
101	0	0	0	0	2000	141010
102	0	0	0	0	3199	60589
103	0	0	0	0	1770	168380
104	0	0	0	0	10260	63111
105	0	0	0	0	1767	15824
106	0	0	0	0	1292	16133
107	0	0	0	0	1973	95265
108	0	0	0	0	1015	15389
109	0	0	0	0	1020	3210
110	0	0	0	0	1780	10916
111	0	0	0	0	1649	6379
112	0	0	0	0	1080	28410
113	0	0	0	0	2462	9858
114	0	0	0	0	1181	2122
115	0	0	0	0	1173	8304
116	0	0	0	0	1429	27475
117	0	0	0	0	1031	2412
118	0	0	0	0	2274	5389
119	0	0	0	0	1948	151813
120	0	0	0	0	2592	19094
121	0	0	0	0	1434	2545
122	0	0	0	0	2422	6376
123	0	0	0	0	1263	13578
124	0	0	0	0	1176	6225
125	0	0	0	0	3816	4771
126	0	0	0	0	5953	7305
127	0	0	0	0	1056	4131
128	0	0	0	0	1236	7893
129	0	0	0	0	1218	58130
130	0	0	0	0	1124	18770
131	0	0	0	0	1435	85293
132	0	0	0	0	2218	49088
133	0	0	0	0	1171	44523
134	0	0	0	0	5064	5910
135	0	0	0	0	2340	40092
136	0	0	0	0	1069	22547
137	0	0	0	0	1003	5500
138	0	0	0	0	1103	2026
139	0	0	0	0	2466	26450
140	0	0	0	0	5212	5306
141	0	0	0	0	1059	23023
142	0	0	0	0	1014	5459
143	0	0	0	0	2142	3616
144	0	0	0	0	874	3680
145	0	0	0	0	1455	5752
146	0	0	0	0	2004	3421
147	0	0	0	0	920	3314
148	0	0	0	0	1726	2513
149	0	0	0	0	2147	6268
150	0	0	0	0	1948	3572
151	0	0	0	0	15603	17759
152	0	0	0	0	3270	4611
153	0	0	0	0	1349	2313
154	0	0	0	0	950	1876
155	0	0	0	0	1493	2560
156	0	0	0	0	3577	4514
157	0	0	0	0	1353	2426
158	0	0	0	0	1321	2534
159	0	0	0	0	4341	4439
160	0	0	0	0	1770	2663
161	0	0	0	0	1079	2265
162	0	0	0	0	795	1825
163	0	0	0	0	1057	2064
164	0	0	0	0	1518	2282
165	0	0	0	0	1217	2042
166	0	0	0	0	1027	1878
167	0	0	0	0	2443	2774
168	0	0	0	0	3431	3818
169	0	0	0	0	929	8915
170	0	0	0	0	7236	12233
171	0	0	0	0	987	2051
172	0	0	0	0	1246	2337
173	0	0	0	0	2073	3427
174	0	0	0	0	739	1810
175	0	0	0	0	675	1692
176	0	0	0	0	1075	2061
177	0	0	0	0	666	1698
178	0	0	0	0	1042	1900
179	0	0	0	0	827	1624
180	0	0	0	0	592	1495
181	0	0	0	0	812	2043
182	0	0	0	0	906	1996
183	0	0	0	0	1046	1816
184	0	0	0	0	615	1754
185	0	0	0	0	1967	2500
186	0	0	0	0	9914	12027
187	0	0	0	0	589	1623
188	0	0	0	0	996	7358
189	0	0	0	0	710	1722
190	0	0	0	0	661	13974
191	0	0	0	0	1152	13016
192	0	0	0	0	538	4916
193	0	0	0	0	725	1502
194	0	0	0	0	930	5589
195	0	0	0	0	1360	7227
196	0	0	0	0	1000	1805
197	0	0	0	0	867	1569
198	0	0	0	0	2114	2257
199	0	0	0	0	455	1386
200	19732231	9996834	19	296	1239	2003
201	0	0	0	0	685	2246
202	0	0	0	0	584	1543
203	0	0	0	0	764	1674
204	0	0	0	0	536	1456
205	0	0	0	0	487	1296
206	0	0	0	0	663	1448
207	0	0	0	0	420	4342
208	0	0	0	0	770	1569
209	0	0	0	0	980	4548
210	0	0	0	0	520	1888
211	0	0	0	0	980	10792
212	0	0	0	0	13943	12641
213	0	0	0	0	708	1580
214	0	0	0	0	3837	4823
215	0	0	0	0	1706	5626
216	0	0	0	0	1750	8144
217	0	0	0	0	2325	2655
218	0	0	0	0	1465	3096
219	0	0	0	0	2231	1350
220	0	0	0	0	902	1491
221	0	0	0	0	722	1291
222	0	0	0	0	1742	1967
223	0	0	0	0	301	917
224	0	0	0	0	775	1314
225	0	0	0	0	529	1022
226	0	0	0	0	404	811
227	0	0	0	0	362	1564
228	0	0	0	0	389	1898
229	0	0	0	0	513	884
230	0	0	0	0	544	2495
231	0	0	0	0	493	3392
232	0	0	0	0	481	783
233	0	0	0	0	2538	1551
234	0	0	0	0	599	1075
235	0	0	0	0	498	957
236	0	0	0	0	1333	1107
237	0	0	0	0	600	917
238	0	0	0	0	356	1473
239	0	0	0	0	737	1862
240	0	0	0	0	1990	2084
241	0	0	0	0	2537	2308
242	0	0	0	0	348	1492
243	0	0	0	0	329	957
244	0	0	0	0	601	964
245	0	0	0	0	412	1014
246	0	0	0	0	512	849
247	0	0	0	0	452	1362
248	0	0	0	0	3546	674
249	0	0	0	0	646	793
250	0	0	0	0	378	1967
251	0	0	0	0	410	1206
252	0	0	0	0	1676	1032
253	0	0	0	0	354	743
254	0	0	0	0	309	827
255	0	0	0	0	224	1770
256	0	0	0	0	370	874
257	0	0	0	0	384	1008
258	0	0	0	0	366	2771
259	0	0	0	0	393	898
260	0	0	0	0	387	2797
261	0	0	0	0	860	602
262	0	0	0	0	1125	2292
263	0	0	0	0	796	474
264	0	0	0	0	6118	1136
265	0	0	0	0	1060	329
266	0	0	0	0	895	1435
267	0	0	0	0	191	5228
268	0	0	0	0	1068	2197
269	0	0	0	0	1930	3122
270	0	0	0	0	645	553
271	0	0	0	0	176	432
272	0	0	0	0	207	2918
273	0	0	0	0	364	2476
