#qual_	FilteredP1	FilteredP2	AddFilterP1	AddFilterP2	RawReadsP1	RawReadsP2
2	0	0	0	0	11766757	11454181
3	0	0	0	0	0	107
4	0	0	0	0	0	5962
5	0	0	0	0	0	25268
6	0	0	0	0	0	79172
7	0	0	0	0	0	142379
8	0	0	0	0	0	308943
9	0	0	0	0	0	412619
10	0	0	0	0	4	475600
11	0	0	0	0	11	573937
12	0	0	0	0	39	749964
13	0	0	0	0	245	996295
14	0	0	0	0	1428	975478
15	0	0	0	0	4561	965530
16	0	0	0	0	15222	1199744
17	0	0	0	0	72781	1584848
18	0	0	0	0	235866	1916027
19	0	0	0	0	627560	1691394
20	0	0	0	0	983768	1668185
21	0	0	0	0	1219411	1725176
22	0	0	0	0	1369907	1731010
23	0	0	0	0	1356910	1878395
24	0	1	0	0	1291294	2173717
25	0	166	0	1	1332609	2657123
26	0	25124	0	73	1414620	3283243
27	176	472012	1	140	1525977	3933222
28	5428	1984270	0	50	1680319	4277963
29	66715	2981788	1	26	1908489	3827389
30	389721	2258730	5	4	2239027	2575850
31	1186163	1243282	11	1	2697379	1562950
32	2207821	663770	1	1	3276651	1053974
33	2997904	266385	0	0	3883504	759887
34	3419040	60869	0	0	4420561	640643
35	3483791	13529	0	0	4705019	752257
36	2867616	13052	0	0	4781089	1263846
37	1957046	12331	0	0	11219641	5995977
38	1150810	1525	0	0	1472643	185037
