OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV5106	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
ASV5109	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis
ASV5102	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	?
ASV5059	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV5005	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7x	Candidatus Saccharibacteria
ASV5025	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	?	?	?
ASV5004	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	?
ASV4995	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	?
ASV4998	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	?	gut metagenome
ASV4988	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas aerophila
ASV4979	Bacteria	Proteobacteria	?	?	?	?	?
ASV4955	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV4953	Bacteria	Actinobacteriota	Actinobacteria	?	?	?	?
ASV4932	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV4931	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Firmicutes bacterium CAG:345	?
ASV4917	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
ASV4894	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
ASV4891	Bacteria	?	?	?	?	?	?
ASV4846	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Rhodobacter sp.
ASV4881	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	?
ASV4873	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	?
ASV4869	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium lotistagni
ASV4871	Bacteria	?	?	?	?	?	?
ASV4867	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Catenisphaera	Chlamydia trachomatis
ASV4861	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
ASV4858	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales Incertae Sedis	Phocaeicola	Phocaeicola abscessus
ASV4836	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus flavithermus
ASV4827	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
ASV4773	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	?
ASV4753	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Candidatus Methylopumilus	Candidatus Methylopumilus
ASV4745	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Ignavigranum	?
ASV4737	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	?	?
ASV4707	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	?
ASV4694	Bacteria	Chloroflexi	?	?	?	?	?
ASV4781	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV4678	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	?	?
ASV4677	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	gut metagenome
ASV4665	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	?
ASV4642	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	?
ASV4643	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	?
ASV4578	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Rhizobium sp.
ASV4601	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	?
ASV4612	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella buccalis
ASV4587	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	?	?
ASV4591	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
ASV4584	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	vadinBE97	uncultured rumen bacterium	?
ASV4568	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	Thermomonas brevis
ASV4566	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	metagenome	?
ASV4557	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. oral clone DA058
ASV4553	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus sp. Lab-1
ASV4522	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	?
ASV4520	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	?
ASV4533	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	?
ASV4530	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema sp. I:Q:AT20
ASV4512	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter gracilis
ASV4487	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	metagenome	?
ASV4493	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	uncultured organism	?
ASV4494	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallales bacterium
ASV4477	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
ASV4451	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	?
ASV4440	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV4437	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
ASV4406	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
ASV4420	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
ASV4423	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV4429	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	?
ASV4427	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Kaistella flava
ASV4387	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
ASV4414	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	?	?
