GROUP	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg
#SampleID	SMPL100	SMPL101	SMPL102	SMPL103	SMPL104	SMPL105	SMPL106	SMPL107	SMPL108	SMPL109	SMPL110	SMPL111	SMPL112	SMPL113	SMPL114	SMPL115	SMPL116	SMPL117	SMPL118	SMPL119	SMPL120	SMPL121	SMPL122	SMPL123	SMPL124	SMPL125	SMPL126	SMPL127	SMPL128	SMPL129	SMPL130	SMPL131	SMPL132	SMPL133	SMPL134	SMPL135	SMPL136	SMPL137	SMPL138	SMPL139	SMPL140	SMPL141	SMPL142	SMPL143	SMPL144	SMPL145	SMPL146	SMPL147	SMPL148	SMPL149	SMPL15	SMPL150	SMPL151	SMPL152	SMPL16	SMPL17	SMPL18	SMPL19	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL70	SMPL72	SMPL73	SMPL74	SMPL75	SMPL76	SMPL77	SMPL78	SMPL79	SMPL80	SMPL81	SMPL82	SMPL83	SMPL84	SMPL85	SMPL86	SMPL87	SMPL88	SMPL89	SMPL90	SMPL91	SMPL92	SMPL93	SMPL94	SMPL95	SMPL96	SMPL97	SMPL98	SMPL99	SMPL154	SMPL155	SMPL156	SMPL157	SMPL158	SMPL159	SMPL160	SMPL161	SMPL162	SMPL163	SMPL164	SMPL165	SMPL166	SMPL167	SMPL168	SMPL169	SMPL170	SMPL171	SMPL172	SMPL173	SMPL174	SMPL175	SMPL176	SMPL177	SMPL178	SMPL179	SMPL180	SMPL181	SMPL182	SMPL183	SMPL184	SMPL185	SMPL186	SMPL187	SMPL188	SMPL189	SMPL190	SMPL191	SMPL192	SMPL193	SMPL194	SMPL195	SMPL196	SMPL197	SMPL198	SMPL199	SMPL200	SMPL201	SMPL202	SMPL203	SMPL204	SMPL205	SMPL206	SMPL207	SMPL208	SMPL209	SMPL210	SMPL211	SMPL212	SMPL213	SMPL214	SMPL215	SMPL216	SMPL217	SMPL218	SMPL219	SMPL220	SMPL221	SMPL222	SMPL223	SMPL224	SMPL225	SMPL226	SMPL227	SMPL228	SMPL229	SMPL230	SMPL231	SMPL232	SMPL233	SMPL234	SMPL235	SMPL236	SMPL237	SMPL238	SMPL239	SMPL240	SMPL241	SMPL242	SMPL243	SMPL244	SMPL245	SMPL246	SMPL247	SMPL248	SMPL249	SMPL250	SMPL251	SMPL252	SMPL253	SMPL254	SMPL255	SMPL257	SMPL258	SMPL259	SMPL260	SMPL261	SMPL262	SMPL263	SMPL264	SMPL265	SMPL266	SMPL267	SMPL268	SMPL269	SMPL270	SMPL271	SMPL272	SMPL273	SMPL274	SMPL275	SMPL276	SMPL277	SMPL278	SMPL279	SMPL280	SMPL281	SMPL282	SMPL283	SMPL284	SMPL285	SMPL286	SMPL287	SMPL288	SMPL289	SMPL290	SMPL291	SMPL292	SMPL293	SMPL294	SMPL295	SMPL296	SMPL297	SMPL298	SMPL299	SMPL300	SMPL301	SMPL302	SMPL303	SMPL304	SMPL305	SMPL306	SMPL307	SMPL308	SMPL309	SMPL310	SMPL311	SMPL312	SMPL313	SMPL314	SMPL315	SMPL316	SMPL317	SMPL318	SMPL319	SMPL339	SMPL340	SMPL341	SMPL342	SMPL343	SMPL344	SMPL345	SMPL346	SMPL347	SMPL348	SMPL349	SMPL350	SMPL351	SMPL352	SMPL353	SMPL354	SMPL355	SMPL356	SMPL357	SMPL358	SMPL359	SMPL360	SMPL361	SMPL362	SMPL363	SMPL364	SMPL365	SMPL366	SMPL367	SMPL368	SMPL369	SMPL370	SMPL371	SMPL372	SMPL373	SMPL374	SMPL375	SMPL376	SMPL377	SMPL378	SMPL379	SMPL380	SMPL381	SMPL382	SMPL383	SMPL384	SMPL385	SMPL386	SMPL387	SMPL388	SMPL389	SMPL390	SMPL391	SMPL392	SMPL393	SMPL394	SMPL396	SMPL397	SMPL398	SMPL399	SMPL400	SMPL401	SMPL402	SMPL405	SMPL406	SMPL407	SMPL408	SMPL409	SMPL410	SMPL411	SMPL412	SMPL413	SMPL414	SMPL415	SMPL416	SMPL417	SMPL418	SMPL419	SMPL420	SMPL421	SMPL426	SMPL427	SMPL428	SMPL429	SMPL430	SMPL431	SMPL432	SMPL433	SMPL434	SMPL435	SMPL436	SMPL437	SMPL438	SMPL439	SMPL440	SMPL441	SMPL442	SMPL443	SMPL444	SMPL445	SMPL446	SMPL447	SMPL448	SMPL449
k_Bacteria	2	135	726	1	2	32	30	0	1	0	0	17	8	0	20	126	1	141	1	0	0	173	0	1	1690	1935	1	63	68	6	59	6	411	2	1	0	203	20	3	2	0	2	107	0	0	13	2	0	0	2	165	0	0	0	466	1	0	1	3	26	28	0	254	7	3	0	67	0	0	1	19	28	3	11	80	0	21	37	0	0	0	4	26	0	6	16	0	7	13	0	37	0	0	0	0	142	18	3	1	0	12	3	13	117	122	0	52	71	210	0	0	25	0	7	0	0	0	0	1	0	21	0	14	53	0	5	5	90	0	3	0	4	1	440	86	990	783	8	5	0	268	167	1	205	124	9	39	39	18	0	48	1156	78	16	4	134	155	36	19	0	13	0	0	81	313	58	165	380	25	0	132	128	7	81	72	21	251	36	66	197	24	84	17	2	35	9	5	1944	67	50	94	175	40	300	2	121	81	34	36	3	8	0	13	159	94	156	0	104	0	13	3	33	5	5	1130	0	0	430	0	0	42	86	760	148	24	2	141	20	20	0	71	216	0	2	12	0	0	594	3	19	107	3205	19	1	63	620	8	157	26	0	2	72	1	1	116	27	172	337	39	402	9	1	49	31	39	78	225	654	56	0	121	88	1	0	108	380	0	100	78	299	7	2055	8	958	2	58	193	194	56	198	75	9	395	97	308	120	54	4	878	130	213	0	11	2	127	5	1	1	16	1	90	21	49	871	1	0	11	108	1	0	2	45	43	16	90	1	82	33	4	2	36	1	4	21	49	38	1024	1	32	95	1	169	3	13	0	0	9	22	0	3	22	2	7	144	82	1	0	1	26	87	109	0	0	0	88	2	2	3	0	6	22	0	0	0	9	7	1	16	1	0	21	0	0	1	33	0	5	21	561	17	0	102	6	0	4	0	31	2	0	0	11	561	0	0	0	0
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	22	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	153	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces	0	35	1	3	4	12	96	1	2	15	0	15	3	0	3	4	0	589	11	0	8	21	0	4	118	308	1	24	722	12	1619	261	97	0	0	0	104	31	0	0	0	0	7	0	2	5	2	0	0	1	120	0	0	0	0	0	0	22	4	8	577	0	5	3	23	0	1	0	0	0	404	1	3	1	17	0	3	3	0	0	0	11	69	0	76	1	0	14	0	0	7	0	0	0	0	88	3	13	4	0	7	1	4	90	55	0	2	606	55	0	0	1	0	47	0	0	0	0	6	0	16	0	14	13	0	110	1	20	1	104	8	36	1	17	3	379	56	1	43	4	337	37	5	16	7	58	16	17	53	0	46	6	10	50	0	43	139	0	173	0	28	0	0	294	111	364	295	167	41	2	246	15	12	76	0	59	75	55	2	156	517	6	15	7	8	21	495	54	161	24	23	39	23	173	248	265	194	10	277	0	5	8	42	186	348	1543	5	6	0	11	2	75	0	78	167	0	354	333	0	0	58	123	273	296	91	0	8	37	14	6	976	623	0	18	3	0	0	268	0	58	55	414	4	1	3	214	4	110	0	0	2	27	0	0	160	45	164	389	54	29	33	0	15	21	39	3	71	319	37	0	117	100	0	0	80	68	0	502	2	89	2	62	4	393	0	49	10	850	4	25	7	53	19	22	38	127	5	40	287	29	71	11	18	0	114	8	0	0	1	0	55	14	651	62	2	4	1	2	1	0	2	32	131	33	40	14	94	140	2	1	46	2	0	3	11	58	12	19	19	30	43	204	213	27	0	0	6	20	0	1	19	0	6	16	2	4	0	0	185	20	259	3	0	0	16	1	0	0	0	4	6	0	2	0	24	1	4	4	0	0	59	0	0	0	16	0	0	55	326	29	0	4	4	0	2	3	7	0	0	0	0	250	0	0	0	0
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Corynebacteriaceae|g_Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Actinobacteriota	0	540	5	6	121	7	71	0	1000	11	1	30	5	0	0	16	3	776	0	0	8	106	0	1	411	5699	0	4	28	0	105	41	237	0	0	0	11	0	0	0	0	0	3	0	0	2	0	0	0	0	27	0	0	0	13	1	0	57	0	16	0	0	0	0	37	0	3	0	0	0	68	929	0	5	25	0	0	43	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	47	0	0	0	0	44	2	213	30	11	0	46	9	5	0	0	0	0	0	0	0	0	0	43	0	0	0	3	1	0	27	59	0	0	17	0	0	0	3	0	0	0	1	1	0	1	35	0	1	0	270	1	316	33	0	15	0	262	2	0	2	0	5	6	0	9	0	0	292	0	20	251	0	0	2	631	1	0	0	0	9	1	3	0	6	44	19	1	0	53	3	9	1	45	0	0	0	15	1063	0	0	1529	8	126	0	31	21	34	95	43	566	0	10	0	0	0	5	13	0	24	0	5	66	0	0	3	44	1	0	2	0	2	0	0	0	8	13	0	5	56	0	0	152	0	8	27	66	0	1	1	1	0	9	0	0	0	11	2	0	75	9	5	16	1	0	0	0	0	0	0	4	1	22	2	0	6	0	0	0	2	0	0	9	0	3	0	0	0	0	0	2	1	12	0	0	0	2	0	2	0	22	23	11	0	0	3	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	0	1	11	0	2	0	9	3	0	4	0	0	2	1	6	9	1	10	5	3	725	6	7	0	0	0	1	0	0	0	1	0	12	2	0	0	0	5	0	12	0	0	0	21	0	0	0	0	367	0	0	0	0	38	0	8	0	0	0	1	0	0	0	8	0	3	9	4	1	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_CL500-29 marine group	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
